Inference for Bugs model at "model_0.bug", fit using jags,
 3 chains, each with 2e+05 iterations (first 1e+05 discarded), n.thin = 100
 n.sims = 3000 iterations saved
             mu.vect sd.vect     2.5%      25%      50%      75%
L0_mean       58.233   1.903   54.356   57.042   58.215   59.489
L_hat[5,23]  109.408   1.239  106.977  108.594  109.412  110.219
L_hat[6,23]  122.640   1.584  119.460  121.588  122.661  123.698
L_hat[7,23]  135.316   2.033  131.227  133.979  135.305  136.749
L_hat[1,24]   58.233   1.903   54.356   57.042   58.215   59.489
L_hat[2,24]   70.942   1.471   67.950   70.005   70.901   71.939
L_hat[3,24]   83.554   1.179   81.252   82.779   83.548   84.350
L_hat[4,24]   96.532   1.089   94.414   95.800   96.529   97.253
L_hat[5,24]  109.408   1.239  106.977  108.594  109.412  110.219
L_hat[6,24]  122.640   1.584  119.460  121.588  122.661  123.698
L_hat[7,24]  135.316   2.033  131.227  133.979  135.305  136.749
L_hat[1,25]   58.233   1.903   54.356   57.042   58.215   59.489
L_hat[2,25]   70.942   1.471   67.950   70.005   70.901   71.939
L_hat[3,25]   83.554   1.179   81.252   82.779   83.548   84.350
L_hat[4,25]   96.532   1.089   94.414   95.800   96.529   97.253
L_hat[5,25]  109.408   1.239  106.977  108.594  109.412  110.219
L_hat[6,25]  122.640   1.584  119.460  121.588  122.661  123.698
L_hat[7,25]  135.316   2.033  131.227  133.979  135.305  136.749
L_hat[1,26]   58.233   1.903   54.356   57.042   58.215   59.489
L_hat[2,26]   70.942   1.471   67.950   70.005   70.901   71.939
L_hat[3,26]   83.554   1.179   81.252   82.779   83.548   84.350
L_hat[4,26]   96.532   1.089   94.414   95.800   96.529   97.253
L_hat[5,26]  109.408   1.239  106.977  108.594  109.412  110.219
L_hat[6,26]  122.640   1.584  119.460  121.588  122.661  123.698
L_hat[7,26]  135.316   2.033  131.227  133.979  135.305  136.749
L_hat[1,27]   58.233   1.903   54.356   57.042   58.215   59.489
L_hat[2,27]   70.942   1.471   67.950   70.005   70.901   71.939
L_hat[3,27]   83.554   1.179   81.252   82.779   83.548   84.350
L_hat[4,27]   96.532   1.089   94.414   95.800   96.529   97.253
L_hat[5,27]  109.408   1.239  106.977  108.594  109.412  110.219
L_hat[6,27]  122.640   1.584  119.460  121.588  122.661  123.698
